Unnamed: 0,번호,제목,저자,출판사,출판일
,81,Design and Implementation of Dynamic Recommendation Service in Big Data Environment,김룡,한국데이터전략학회,2019
,82,Development of a Platform Using Big Data-Based Artificial Intelligence to Predict New Demand of Shipbuilding,이상원,한국인터넷방송통신학회,2019
,83,"Advanced Technologies in Blockchain, Machine Learning, and Big Data",박지수,한국정보처리학회,2020
,84,Design and Implementation of Dynamic Recommendation Service in Big Data Environment,Kim Ryong,한국데이타베이스학회,2019
,85,Big data driven decision making and multi-prior models collaboration for media restoration,"Jiang, F.",Springer Science + Business Media,2016
,86,Big Data-oriented Analysis on Issues of the Hyper-connected Society,박승범,국제e-비즈니스학회,2015
,87,The Effect of Big Data-based Fashion Shopping Applications on App Users' Continuous Usage Intention,Hyekyung Hong,한국패션비즈니스학회,2018
,88,A renewable energies-assisted sustainable development plan for Iran using techno-econo-socio-environmental multivariate analysis and big data,"Ifaei, Pouya",Elsevier,2017
,89,"Knowledge Extractions, Visualizations, and Inference from the big Data in Healthcare and Medical",Jin Sung Kim(김진성),한국지능시스템학회,2013
,90,A Competitive Analysis of Coffee Franchise Brands on Social Media Using Big Data,레환수,한국인터넷전자상거래학회,2015
,91,A Study on Big Data-Based Analysis of Risk Factors for Depression in Adolescents,장춘옥,국제문화기술진흥원,2023
,92,Trajectory Privacy for Publishing Big Data,Rashid Tojiboev,한국EA학회,2019
,93,Mobility Big Data-Based Movement Patterns and Inducement Factors Analysis,배민철,대한국토·도시계획학회,2023
,94,A Big Data-Driven Business Data Analysis System : Applications of Artificial Intelligence Techniques in Problem Solving,Donggeun Kim,한국경영정보학회,2023
,95,Adopting Big Data AI and Robo-Advisor to Investment Strategy : Case of Vanguard,이병욱(ByungUk Lee),피터드러커 소사이어티,2024
,96,A basis of spatial big data analysis with map-matching system,"Cho, W.",Springer Science + Business Media,2017
,97,"A Public Perception Study on the new word ""Corona Blue"":Focusing on Social Media Big Data Analysis","Ann, Myung Suk",The International Promotion Agency of Culture Technology,2020
,98,A standards-based ontology and support for Big Data Analytics in the insurance industry,Dimitrios A. Koutsomitropoulos,한국통신학회,2017
,99,A Study on the Research Trends of Big Data at Public Libraries : with a Focus on the Journal “Public Library Quarterly”,이성신,건국대학교 GLOCAL(글로컬)캠퍼스 지식콘텐츠연구소,2022
,100,FROM BROWSING TO BUYING: HOW BIG DATA IS TRANSFORMING E-COMMERCE,Nuraeni,글로벌지식마케팅경영학회,2023
,1,Developing a Big Data Analytic Model and a Platform for Particulate Matter Prediction: A Case Study,Sung-Hyun Kim,한국지능시스템학회,2019
,2,Exchange of Data for Big Data in Hybrid Cloud Environment,Chi-gon Hwang,보안공학연구지원센터,2015
,3,Keyword Network Analysis through Big Data on Well-being of Young Children with Disabilities,Hyung Mee Kim(Hyung Mee Kim),The Pacific Early Childhood Education Research Association(환태평양유아교육연구학회),2024
,4,Network Anomaly Traffic Detection Using WGAN-CNN-BiLSTM in Big Data Cloud–Edge Collaborative Computing Environment,Yue Wang,한국정보처리학회,2024
,5,Di-ANFIS: an integrated blockchain–IoT–big data-enabled framework for evaluating service supply chain performance,Seyed Mojtaba Hosseini Bamakan,한국CDE학회,2021
,6,Effects of Calculation of Sexual Crime Prevention Index through Public Big Data Analysis on the Residential Choice in Seoul Autonomous Gu and Their Policy Implications,송민기,한국비교정부학회,2019
,7,"Relations Between Paprika Consumption and Unstructured Big Data, and Paprika Consumption Prediction",조용빈,한국콘텐츠학회,2019
,8,초고령사회에서의 건강과 돌봄을 위한 AI와 Big Data의 활용,Soo-Yong Shin,한국노년학회,2018
,9,Rearch of Late Adolcent Activity based on Using Big Data Analysis,Hye-Sun Lee,국제문화기술진흥원,2022
,10,Analyses of Question Types and Evidence Evaluation Types in Big Data Analysis for 7th Grade Students,유다연,한국교원대학교 뇌·AI기반교육연구소,2023
,11,Study of the optimal algorithm for production process based on big data to achieve smart factory in the textile industry,Wook Kim,한국산업경영시스템학회,2021
,12,A Study on the Survival Rate of Lip-Oral-Pharyngeal Cancer Using Big Data,장현선,대한구강악안면병리학회,2023
,13,"An Efficient Algorithm for Big Data Prediction of Pipelining, Concurrency (PCP) and Parallelism based on TSK Fuzzy Model = TSK 퍼지 모델 이용한 효율적인 빅 데이터 PCP 예측 알고리즘",김장영,The Korea Institute of Information and Commucation Engineering,2015
,14,U-Healthcare 기기에서 DRDoS공격 보안위협과 Big Data를 융합한 대응방안 연구,허윤아,한국융합학회,2015
,15,A Study on the Hotel Economic Trends Using Unstructured Big Data: Focusing on the Comparison of Pre-COVID-19 and COVID-19 Periods,이규태,한국비교정부학회,2023
,16,Leveraging Business Strategy Based on Customer Sentiment Embedded in Big Data of Social Media in Saudi Arabia,Young-Eun PARK,한국유통과학회,2023
,17,Leveraging Business Strategy Based on Customer Sentiment Embedded in Big Data of Social Media in Saudi Arabia,Young-Eun PARK,Korea Distribution Science Association,2023
,18,Analyzing trends in cultural contents tourism using big data,최윤희,한국인터넷방송통신학회,2023
,19,Predicting Selling Price of First Time Product for Online Seller using Big Data Analytics,"Deora, Sukhvinder Singh",International Journal of Computer ScienceNetwork Security,2021
,20,Integrated Center for Analytics (ICA): An Integrative Approach for Big Data Stakeholders,최무진,한국로고스경영학회,2018
,21,Insights Discovery through Hidden Sentiment in Big Data: Evidence from Saudi Arabia's Financial Sector,"PARK, Young-Eun",Korea Distribution Science Association,2020
,22,Export-Import Value Nowcasting Procedure Using Big Data-AIS and Machine Learning Techniques,Jimmy NICKELSON,한국유통과학회,2022
,23,Medical Internet of Things and Big Data in Healthcare,Dimiter V. Dimitrov,대한의료정보학회,2016
,24,Semantic Compatibility Condition in American English: A Big Data-based Trend Analysis of Ethnic Slurs,윤수원(Suwon Yoon),한국생성문법학회,2021
,25,Access efficiency of small sized files in Big Data using various Techniques on Hadoop Distributed File System platform,"Alange, Neeta",International Journal of Computer ScienceNetwork Security,2021
,26,Research on Tourist Satisfaction Evaluation with Northeast Asia Royal Palace  Based on Big Data,"Jing, Qiwei",한국비즈니스학회,2023
,27,Public Opinion on Lockdown (PSBB) Policy in Overcoming COVID-19 Pandemic in Indonesia: Analysis Based on Big Data Twitter,Catur Suratnoaji,충남대학교 아시아여론연구소,2020
,28,Application of a Mobile Chronic Disease Health-Care System for Hypertension Based on Big Data Platforms,"Li, Dingkun",Hindawi Limited,2018
,29,Analysis of Dental Language Network in News Articles Using News Big Data,문경희,대한예방치과학회,2020
,30,Export-Import Value Nowcasting Procedure Using Big Data-AIS and Machine Learning Techniques,"NICKELSON, Jimmy",Korea Distribution Science Association,2022
,31,Creating a better healthcare environment: Usage of Big data recommendations,Zaya Sukhbat,한국경영과학회,2018
,32,ONETOOL for the analysis of family-based big data,"Song, Yeunjoo E",Oxford University Press,2018
,33,A Study on Security Event Detection in ESM Using Big Data and Deep Learning,"Lee, Hye-Min",The Institute of Internet,2021
,34,Analysis of Landscape Characteristics of the Historical Culture Road Project - Based on Big Data Analysis of Insadong Road -,Geontae Kim,전북대학교 부설 휴양및경관계획연구소,2018
,35,A Study on Adaptive Smart Platform for Intelligent Software in Big Data Environment,김정식,한국지식정보기술학회,2020
,36,A Study on User Perception of Tourism Platform Using Big Data,전세원,한국인터넷방송통신학회,2024
,37,An Analysis on Crisis of Local Universities and Overcoming Measures: Focused on the Analysis of Convergence Education Trends Based on Social Big Data,이상엽,한국비교정부학회,2022
,38,PSS Evaluation Based on Vague Assessment Big Data: Hybrid Model of Multi-Weight Combination and Improved TOPSIS by Relative Entropy,Lianhui Li,한국정보처리학회,2024
,39,A Study on the Analysis of Solar Consumer Perception Using Big Data,이승원,국제문화기술진흥원,2024
,40,The Development of Big Data-based Accident Cause Classification System = 빅데이터 기반 사고원인 분류체계 고도화,Dae Ho Kim(김대호),대한인간공학회,2019
,41,Big Data의 이해- 가치와 도입전략,이성희(Lee Sung Hee),한국정보기술학회,2012
,42,A Novel Decision Model to Support the Prediction of Asthma Among the Big Data’s of Various Different Patient’s,Abhinav Hans,보안공학연구지원센터,2016
,43,Big Data-Driven Approach for Health Inequalities in Foreign Patients with Injuries Visiting Emergency Rooms,Jin Young Kang,대한의료정보학회,2020
,44,A Keyword Network Analysis of Standard Medical Terminology for Musculokeletal System Using Big Data,최병관,한국디지털정책학회,2022
,45,Big Data-Based Analysis of Characteristics of Consumption Sales by Region and Age : Focused on Seoul,"Lee, Su-Bin",대한국토·도시계획학회,2021
,46,The Development of a Real-Time Disease Prediction Model through Big Data-based Analysis of Crop-Pathogen-Environment Interactions,Seungbo Lee,한국콘텐츠학회,2024
,47,Managing Big Data in the Meetings and Events Industry: A Qualitative Study,김우혁,(사)한국관광레저학회,2019
,48,A Network Intrusion Security Detection Method Using BiLSTM-CNN in Big Data Environment,Hong Wang,한국정보처리학회,2023
,49,Spatial correlation and determinants of subjective residential environment evaluation by household types using big data: Focusing on the residents of apartments in Seoul,"Jang, Yoonjeung(장윤정)",한국지적정보학회,2021
,50,"검색, Big Data에서 BIG INSIGTH로 기업, 미래를 발견하다!",강용성,한국지능정보시스템학회,2012
,51,Solving the SW Industry Human Resource Paradox through Big Data: A Study on News Network Analysis,Juho Song,한국정보통신학회,2021
,52,A Group Key based Security Model for Big Data System,Heeyoul Kim,보안공학연구지원센터,2016
,53,IOT와 Big Data의 연계를 통한 범죄예방 활용방안,오세연(Sei-Youen Oh),한국콘텐츠학회,2015
,54,VTS BIG DATA를 활용한 해상교통관제항로 패턴 분석,이승희,한국항해항만학회,2014
,55,내비게이션 BIG DATA를 활용한 수시교통량 자료 AADT 추정 방안,박현석,한국ITS학회,2016
,56,A Method of Detecting Careless Email Use that May Cause Security Problems Based on Analysis of Enterprise Email Big Data,Sung-Min Kim,보안공학연구지원센터,2016
,57,Constructing Efficient Regional Hazardous Weather Prediction Models through Big Data Analysis,Jaedong Lee,한국지능시스템학회,2016
,58,Constructing Efficient Regional Hazardous Weather Prediction Models through Big Data Analysis,이재동,한국지능시스템학회,2016
,59,Research on Big Data-Based E-Learning Contents Authoring Services,Seung-Hwan Ju,보안공학연구지원센터,2016
,60,A Study on the Consumer Perception and Keyword Analysis of Meal-kit Using Big Data,정선미,한국인터넷방송통신학회,2022
,61,Constructing Efficient Regional Hazardous Weather Prediction Models through Big Data Analysis,"Lee, Jaedong",Korean Institute of Intelligent Systems,2016
,62,분자육종 연구에서 Big Data를 활용한 가이드 RNA(gRNA) 제작의 중요성,정찬영(Chan Young Jeong),한국통신학회,2020
,63,Conceptual Approach for the New Cognition of Hotel Industry in the Era of Big Data: A Systematic Review,Shuting Tao,한국조리학회,2020
,64,Development of an Optimized Accident Prediction Model for Construction Safety Using Big Data Analysis,허준규,인간식물환경학회,2024
,65,A Map Reduce based Support Vector Machine for Big Data Classification,Anushree Priyadarshini,보안공학연구지원센터,2015
,66,LSTM-based Anomaly Detection on Big Data for Smart Factory Monitoring,Van Quan Nguyen,한국디지털콘텐츠학회,2018
,67,Development and Evaluation of an Obesity Ontology for Social Big Data Analysis,"Kim, Ae Ran",Korean Society of Medical Informatics,2017
,68,A Study on the Development of Service Quality Scale in Traditional Market for Big Data Analysis,"HWANG, Moon-Young",한국인공지능학회,2019
,69,The advantages and challenges of “big data”: Insights from the 14 billion word iWeb corpus,Mark Davies,경희대학교 언어정보연구소,2019
,70,Smart Space based on Platform using Big Data for Efficient Decision-making,이진경,한국정보화진흥원,2018
,71,Research on Chinese Audience Perception with K-pop Girl Group Music Videos Based on Big Data: The Blackpink as an Example,징 치웨이,인문사회 21,2023
,72,Research and Technology Trend Analysis by Big Data-Based Smart Livestock Technology: a Review,김민지,한국농업기계학회,2021
,73,How to improve oil consumption forecast using google trends from online big data?: the structured regularization methods for large vector autoregressive model,"Choi, Ji-Eun",The Korean Statistical Society,2022
,74,THE EFFECT OF RESTAURANT PLATFORM ENDORSEMENTS ON CUSTOMERS’ ATTITUDES: A BIG DATA-BASED QUASI-EXPERIMENTAL APPROACH,Dohyung Bang,글로벌지식마케팅경영학회,2023
,75,Development of an Atopic Dermatitis Incidence Rate Prediction Model for South Korea Using Air Pollutants Big Data: Comparisons Between Regression and Artificial Neural Network,Lim Byeonggeuk,한국화학공학회,2025
,76,Epidemiology of ALS in Korea using nationwide big data,"Jun, Kyo Yeon",British Medical Association,2019
,77,Effects of Experiences in AI and Big Data-based Fashion Shopping Apps on the Consumer’s Emotional Response and Continuance Intention,"Kim, Sun Ah(김선아)",한국디자인문화학회,2021
,78,A Study on Methodologies of Drug Repositioning Using Biomedical Big Data: A Focus on Diabetes Mellitus,이수현,대한내분비학회,2022
,79,A Study on the Perception of Metaverse Fashion Using Big Data Analysis,임호선,한국의류산업학회,2023
,80,Housing Market Trend Forecasts through Statistical Comparisons based on Big Data Analytic Methods,"Han, Seungwoo",American Society of Civil Engineers,2018
,81,A Research on Difference Between Consumer Perception of Slow Fashion and Consumption Behavior of Fast Fashion: Application of Topic Modelling with Big Data,Oh-Suk YANG,국제융합경영학회,2021
,82,IT Jobs in the Era of Digital Transformation: Big Data Analytics,이호,한국경영정보학회,2019
,83,Research on Major Trends of Smart Technologies in the Construction Sector Analyzed Through Big Data: Focusing on Government-initiative Projects,홍원표,국제문화기술진흥원,2024
,84,Cross&#x2010;Cultural Comparison of Nonverbal Cues in Emoticons on Twitter: Evidence from Big Data Analysis,"Park, Jaram","Wiley Subscription Services, Inc.",2014
,85,Laparoscopic surgery versus open surgery for gastric cancer: big data analysis based on nationwide administrative claims data,Hyojung Hwang,대한외과학회,2020
,86,Performance Evaluation of Hadoop and Oracle Platform for Distributed Parallel Processing in Big Data Environments,A. K. M. Mahbubul Hossen,보안공학연구지원센터,2015
,87,Exploring the Competitive Advantage of Coffee Shops’ Locations using Spatial Big Data Based on i2SFCA and Contour Tree Technique: The Case of Incheon Metropolitan City,김현중,한국인문사회질학회,2022
,88,A Study on Prediction of Traffic Volume Using Road Management Big Data,성홍기,한국측량학회,2015
,89,IT Jobs in the Era of Digital Transformation : Big Data Analytics,Ho Lee,한국경영정보학회,2019
,90,Minor alleles in the FTO SNPs contributed to the increased risk of obesity among Korean adults: meta-analysis from nationwide big data-based studies,김오연,한국영양학회,2023
,91,Changing Disease Trends in the Northern Gyeonggi-do Province of South Korea from 2002 to 2013: A Big Data Study Using National Health Information Database Cohort,Young Soo Kim,질병관리본부,2018
,92,Big Data기반 도시하천 친수 공간정보 활용기술 개발,"김창성(Kim, Chang Sung)",대한토목학회,2021
,93,Big Data를 활용한 미래도로 구상,조한선,한국도로학회,2017
,94,Big Data의 활용,이진천,대한설비공학회,2013
,95,Big data분석기법의 국방과학기술 적용방안 연구,손창호,한국시뮬레이션학회,2017
,96,Big data와 기계학습을 활용한 PM<SUB>2.5</SUB> 예보,구윤서,한국대기환경학회,2022
,97,Big Data를 활용한 보호계전기 입력요소 적정성 판단에 대한 연구,김종호(Jong-Ho Kim),대한전기학회,2022
,98,Big data를 활용한 국방 M&S의 경험 Database 구축 방안,김성규,한국경영과학회,2015
,99,Big data를 활용한 국방 M&S의 경험 Database 구축 방안,김성규,대한산업공학회,2015
,100,Big Data를 활용한 IT융합기술 모델과 사례연구,황두영,제어로봇시스템학회,2013
,1,Big Data의 이해 - 가치와 도입전략,이성희(Seong-Hui Lee),한국컴퓨터정보학회,2012
,2,Data-Driven Healthcare & Analytics in a Big Data World,장혜정,대한의료정보학회,2015
,3,Social big data: Recent achievements and new challenges,"Bello-Orgaz, G.","Elsevier Science B.V., Amsterdam.",2016
,4,공공 ‘Big-Enough Data’ 분석 사례 및 과제,이택면,한국사회학회,2014
,5,수처리시설 Big Data를 이용한 Smart O&M 적용 기법 개발,이건희,대한환경공학회,2019
,6,Integrating “Big Data” into Surgical Practice,Jaesoon Choi,대한외과학회,2018
,7,부동산 경매 Big Data를 활용한 Chaos 분석,강준,한국경영정보학회,2017
,8,Development of Big Data-based Cardiovascular Disease Prediction Analysis Algorithm,Kyung-A KIM,한국인공지능학회,2023
,9,[Special Ⅱ_ESG] <Big Data> 500대 기업 ESG 등급과 주가상승률,박지훈,(주)매일경제신문사,2021
,10,4차 산업혁명시대 여가생활을 위한 AI와 Big Data의 활용,박범기,한국융합경영학회,2019
,11,Towards Social Big Data-Based Affective Group Recommendation,"Hong, Minsung",Springer-Verlag,2018
,12,Critical Care Research Using “Big Data”: A Reality in the Near Future,Kwangha Lee,대한중환자의학회,2018
,13,공기청정기용 적용 센서 및 Big Data활용,박찬정,한국건축친환경설비학회,2018
,14,Factory Intelligence를 위한 Big Data활용 사례 분석,2016 KSIE하계특별세미나,한국산업경영시스템학회,2016
,15,"정보화 에세이 : Big Data와 지역정보화, 상생효과 높이기",학계자료,한국지역정보개발원(구 자치정보화조합),2012
,16,"Cherry Tomato Cultivation, Environmental Big Data Collection, Data-base Farmhouse Consulting",Jung-Mi Park,한국원예학회,2023
,17,Application of genomic big data to analyze the genetic diversity and population structure of Korean domestic chickens,Eunjin Cho,한국축산학회,2023
,18,“Cloud Computing & Big Data” 특집호를 발간하며...,한성수,한국정보처리학회,2021
,19,The Future of Big Data:,Daumsoft,한국IT서비스학회,2018
,20,"Interaction among Networks in the age of ""Big Data"": Social, Knowledge, Innovation, and Triple-Helix Networks","Jung, Kyujin",World Association for Triple Helix and Future Strategy Studies,2014
,21,Brand Clustering Based on Social Big Data: A Case Study,"Kang, Ha-Na",Global Vision Press,2016
,22,Development of standard loss analysis model using big data: Focusing on Republic of Korea army,이승호,광운대학교 방위사업연구소,2022
,23,정보속으로: IT 이슈 : Social Big DATA의 의미와 트렌드 분석,강학주,한국지역정보개발원 (구 자치정보화조합),2012
,24,Classification of Metro Station Areas Using Multi-Source Big Data: Case Studies in Beijing,Shuo Chen,Council on Tall Building and Urban Habitat Korea,2023
,25,"Surviving in the era of ""Big Data""",권석운,대한혈액학회,2013
,26,정책갈등 지식관리 체계 구축 및 활용에 관한 연구(I): Big data를 중심으로,윤종설,한국행정연구원,2015
,27,의약품의 QT/QTc 간격연장 및 전부정맥 위험성 평가 : 한국인 심전도 Big Data분석으로 본 ICH E14 가이드라인 적용의 고려할 점,윤재석,한국에프디시규제과학회(구 한국에프디시법제학회),2015
,28,A Study on Future Prediction and Policy Cases Using Big Data: Focus on Disaster Management,"Kim, Jong Eop",한국지방정부학회,2015
,29,정책갈등 지식관리체계 구축 및 활용에 관한 연구(Ⅱ): Big Data를 중심으로,윤종설,한국행정연구원,2016
,30,Public Perceptions Toward Ethnic Return Migrants in South Korea : A Big Data-Based Language Analysis,이문우,한국사회언어학회,2022
,31,The study on Analysis of factors of restaurant start-ups using big data,이진호,한국인터넷방송통신학회,2023
,32,The Possibilities as a Prediction Tool for Cancer Research of Big Data: Comparison of Incidence Rate of Korean Major Male and Urologic Cancers and Trend Scores,강동혁,대한비뇨기종양학회,2015
,33,Multiple Antiplatelet Therapy in Ischemic Stroke Already on Antiplatelet Agents Based on the Linked Big Data for Stroke,Kim Tae Jung,대한의학회,2023
,34,Legal Concerns of Financial Institutions in the Big Data Era - The Use of De - Identified Personal Information without Prior Consent under the Korean Privacy Laws -,조혜찬,한국정보법학회,2016
,35,Challenges and Opportunities for Occupational Therapy in Big Data Research,Ickpyo Hong,대한작업치료학회,2019
,36,Standardization Requirements Analysis on Big Data in Public Sector based on Potential Business Models,"Suwook Ha,Seungyun Lee,Kangchan Lee",보안공학연구지원센터,2014
,37,Legal Concerns of Financial Institutions in the Big Data Era,"Cho, Hyechan(조혜찬)",한국정보법학회,2016
,38,The Study on the Business Development Prospects Analysis Using Big Data,Hwan-Seok Yang,보안공학연구지원센터,2016
,39,Is Big Data a Big Dilemma or a Big Opportunity in China? Intellectual Property Protection in the Era of Big Data,Xiao Ma,이준국제법연구원,2018
,40,Applications Analysis of Big Data Analysis in the Medical Industry,Zhendong Ji,보안공학연구지원센터,2015
,41,The Usage Needs and Adoption Intention of Manufacturing Big Data Technology in Small and Medium-sized Manufacturing Companies,김지대,한국기업경영학회,2016
,42,A Study on Big Data Analytics Services and Standardization for Smart Manufacturing Innovation,김철림,한국인터넷방송통신학회,2022
,43,The Mediating Effect of Delivery Big Data Service Expectations on the Relationship between Perceived Mobile Usability and Smart Delivery Use Intention,천홍말,한국유통경영학회,2013
,44,Big Data and the Prospects of Historical Research - A study of research in modern and contemporary Korean history - = 빅데이터와 역사학 연구의 전망,Minki Moon(문민기),고려대학교 한국사연구소,2019
,45,Personal Information Protection Crisis Management in Big Data,Kwan Sig Choi,위기관리 이론과 실천,2021
,46,The Concept of Pattern based Data Sharing in Big Data Environments,Muhammad Habib ur Rehman,보안공학연구지원센터,2015
,47,CASE STUDY ON BIG DATA MARKETING IN A KOREAN MULTICHANNEL RETAIL COMPANY,Jaehee Chung,글로벌지식마케팅경영학회,2016
,48,Impact of Big Data Analytics on Indian E-Tailing from SCM to TCS,Avinash BM,한국유통과학회,2024
,49,Study on the Big Data Utilization for the Parliamentary Library and Research Services,Joonhwa Jung,한국의정연구회,2017
,50,BGP Design for the Separation of the Local Big Data Traffic in Data Center,Hyoung Woo Park,보안공학연구지원센터,2015
,51,Text Mining and Visualization of Unstructured Data Using Big Data Analytical Tool R,남수태,The Korea Institute of Information and Commucation Engineering,2021
,52,Big Data Service Design :Collection to Analysis in the Cloud Computing Ecosystem,D. Jaswanth,차세대컨버전스정보서비스학회,2021
,53,Research on the Application of Big Data Ecology in College Physical Education Teaching and Training,Yu Huan,한국스포츠학회,2020
,54,Big Data and Optimization of College Students' Education Management Mode,Jianwei Yang(Jianwei Yang),ACADEMIC FRONTIERS PUBLISHING GROUP(AFP),2024
,55,A Study on Game Keyword Search Volume and Global Game Performance with Big Data,"LEE, Hyunjin",한국무역금융보험학회(구 한국무역보험학회),2017
,56,Optimizing NUMA System Beyond 100 Gbps for Big Data,유세영,한국지식정보기술학회,2021
,57,Adoption of Big Data Technologies for Communication Management in Large Projects,Suhail Memon,보안공학연구지원센터,2016
,58,The Big Data Applications in Film Industry Chain,Xinran Wang,보안공학연구지원센터,2016
,59,Data Lakes for Big Data and its Role in Current ICT,Ajit Singh,한국디지털융합학회,2021
,60,Challenges and Opportunities for Occupational Therapy in Big Data Research,홍익표,대한작업치료학회,2019
,61,Big Data Analysis Framework for Healthcare and Social Sectors in Korea,송태민,대한의료정보학회,2015
,62,Big Data and Hadoop for Productive Social Commerce: Trending in Social Media Users and Entrepreneurs,Youn-Hwan Choi,보안공학연구지원센터,2016
,63,A study on the establishment of policies for the activation of a big data industry and prioritization of policies: Lessons from Korea,"Kwon, T.H.",American Elsevier,2015
,64,Profiling the Use of Analytical Platforms and Future Architecture: From Big Data Professional’s Perspectives,최무진,한국로고스경영학회,2017
,65,Big Data and the Prospects of Historical Research - A study of research in modern and contemporary Korean history -,문민기,고려대학교 한국사연구소,2019
,66,Big Data in Healthcare Hype and Hope = 의료 분야에 있어서 대용량 데이터의 활용,"Sul Gi, Kim(김슬기)",(사)한국CDE학회,2013
,67,"Big data, how to balance privacy and social values",Joo-Seong Hwang,한국디지털정책학회,2013
,68,Agriculture Big Data Analysis System Based on Korean Market Information,Tserenpurev Chuluunsaikhan,한국멀티미디어학회,2019
,69,The Impact of Artificial Intelligence and Big Data on the Evolution of Accounting Practices : Opportunities and Challenges,양쯔잉,한국디지털정책학회,2024
,70,Utilizing AI and Big Data in Education: The Current State and Future Directions,이예경,한국열린교육학회,2021
,71,A Study on Policy and System Improvement Plan of Geo-Spatial Big Data Services in Korea,박준민,한국측량학회,2016
,72,Applications of Big Data and AI-Driven Technologies in High-Dimensional Data Analysis: Taiwanese Bankruptcy Prediction Using Machine Learning Models with Factor Analysis,JUYONG KO,한국산업응용수학회,2024
,73,Change Analysis and Development Direction of BK21 PLUS Project : Focusing on Social Big Data Analysis,Sung-Jun Myung,한국자치행정학회,2017
,74,A Study on the Impact of Strategic Orientation on International Performance of Chinese Small and Medium-sized Cross-border E-Commerce Enterprises in the Post-Epidemic Period―Focusing on the Mediating Role of Big Data Capabilities with Data from Enterpri,상홍강,아시아.유럽미래학회,2022
,75,Development of Examination Model of Weather Factors on Garlic Yield Using Big Data Analysis,Shinkon Kim(김신곤),한국산학기술학회,2018
,76,Big Data in Healthcare: An Investigation into Medical Data Management and Privacy Implications in China,Bhaskar P. Sai,차세대컨버전스정보서비스학회,2022
,77,The Impact of Big Data Investment on Firm Value,Ji-Hong Min,한국유통과학회,2015
,78,UPS Applying Big Data Analytics to Logistics:,Sung-Hee “Sunny” Park,한국경영정보학회,2014
,79,Double Privacy Layer Architecture for Big Data Framework,Do-Eun Cho,보안공학연구지원센터(IJSEIA),2016
,80,Development of Electric Trading System Using Big Data,Cheol-Woong Lee,보안공학연구지원센터,2014
,81,Improvised methods for tackling big data stream mining challenges: case study of human activity recognition,"Fong, S.",Springer Science + Business Media,2016
,82,"Research on Big Data Privacy Protection based on the Three-Dimensional Integration of Technology, Law, and Management",Dekui Wang,한국정보기술학회,2021
,83,"Big Data Strategies for Government, Society and Policy-Making","LEE, Jung Wan",Korea Distribution Science Association,2020
,84,Big Data Analysis in School Adjustment Factors using Data Mining,Sujeong Ko,한국인터넷방송통신학회,2019
,85,A Study on Game Keyword Search Volume and Global Game Performance with Big Data,이현진,한국무역보험학회,2017
,86,Challenges and Opportunities of Big Data,Md Ibrahim Khalil,ICT플랫폼학회,2020
,87,A Strategy Study on Sensitive Information Filtering for Personal Information Protect in Big Data Analyze,Gun-Seo Koo(구건서),한국컴퓨터정보학회,2017
,88,"Round and Round the Garden? Big Data, Small Government and the Balance of Power in the Information Age = 부질없는 정원 돌기? 빅데이터, 작은 정부 그리고 정보시대에서의 힘의 균형",Judith Rauhofer,서울대학교 공익산업법센터,2015
,89,Big Data Performance Evaluation Analysis Using Apache Pig,Gal Engelberg,보안공학연구지원센터,2016
,90,Financial and Economic Risk Prevention and Countermeasures Based on Big Data and Internet of Things,Songyan Liu,한국정보처리학회,2024
,91,A Trend Analysis of Floral Products and Services Using Big Data of Social Networking Services,Sin Young Park,인간식물환경학회,2019
,92,Big data analysis and artificial intelligence in epilepsy – common data model analysis and machine learning-based seizure detection and forecasting,Chung Yoon Gi,대한소아청소년과학회,2022
,93,Facilitating Conditions in Adopting Big Data Analytics at Medical Aid Organizations in South Africa,"VELA, Junior Vela",Korea Distribution Science Association,2022
,94,The Evolution of Big Data Ecosystems : Co-Hashtag Network Analysis and Community Structure Detection,Bongsug (Kevin) Chae,한국경영정보학회,2015
,95,한국 고전문학 연구와 빅데이터(Big data)의 활용,"정규식(Chung, Ku-Sik)",영남대학교 인문과학연구소,2015
,96,Big Data Analysis on the Perception of Home Training According to the Implementation of COVID-19 Social Distancing,금현창,한국인터넷방송통신학회,2023
,97,Application Analysis of Smart Tourism Management Model under the Background of Big Data and IOT,Gangmin Weng,한국정보처리학회,2023
,98,A Proposal of a Defense Model for the Abnormal Data Collection using Trace Back Information in Big Data Environments,YanTing Mu,한국지식정보기술학회,2015
,99,A review of big data analytics and healthcare,문석재,한국응용과학기술학회,2020
,100,The Impact of Big Data Investment on Firm Value,민지홍,한국유통과학회,2015
,1,The Adoption of Big Data to Achieve Firm Performance of Global Logistic Companies in Thailand,"KITCHAROEN, Krisana",Korea Distribution Science Association,2023
,2,Influence of Big Data Analytics Capability on Innovation and Performance in the Hotel Industry in Malaysia,Muhamad Luqman KHALIL(Muhamad Luqman KHALIL ),한국유통과학회,2023
,3,A Trend Analysis of Floral Products and Services Using Big Data of Social Networking Services,박신영,인간식물환경학회,2019
,4,"Implementing a Sustainable Decision-Making Environment - Cases for GIS, BIM, and Big Data Utilization -",Kim Hwan Yong,한국BIM학회,2016
,5,A Study on the Development of Next Generation Intelligent Integrated Security Management Model using Big Data Technology,JeongBeom Kim,보안공학연구지원센터,2015
,6,A Study on the Policy Trends for the Revitalization of Medical Big Data Industry,Hyejin Kim,한국디지털정책학회,2020
